,country,points,price,variety,province,winery
3,US,87,13.0,Riesling,Michigan,St. Julian
4,US,87,65.0,Pinot Noir,Oregon,Sweet Cheeks
10,US,87,19.0,Cabernet Sauvignon,California,Kirkland Signature
12,US,87,34.0,Cabernet Sauvignon,California,Louis M. Martini
14,US,87,12.0,Chardonnay,California,Mirassou
15,Germany,87,24.0,Riesling,Mosel,Richard Böcking
20,US,87,23.0,Red Blend,Virginia,Quiévremont
21,US,87,20.0,Pinot Noir,Oregon,Acrobat
23,US,87,22.0,Merlot,California,Bianchi
25,US,87,69.0,Pinot Noir,California,Castello di Amorosa
28,Italy,87,17.0,Red Blend,Sicily & Sardinia,Terre di Giurfo
33,US,86,50.0,Red Blend,California,Envolve
34,US,86,20.0,Sauvignon Blanc,California,Envolve
35,US,86,50.0,Pinot Noir,Oregon,Erath
37,Italy,86,21.0,Cabernet Sauvignon,Sicily & Sardinia,Feudi del Pisciotto
41,US,86,22.0,Pinot Noir,Oregon,Hawkins Cellars
43,US,86,14.0,Sauvignon Blanc,California,Robert Hall
44,Chile,86,9.0,Merlot,Maule Valley,Sundance
45,US,86,40.0,Red Blend,Virginia,Tarara
47,US,86,13.0,Riesling,California,The White Knight
48,US,86,16.0,Sauvignon Blanc,Virginia,Trump
55,US,85,30.0,Chardonnay,California,RustRidge
56,US,85,14.0,Chardonnay,California,Souverain
58,Chile,85,13.0,Pinot Noir,Maipo Valley,Tres Palacios
60,US,86,100.0,Cabernet Sauvignon,California,Okapi
64,US,86,26.0,Sauvignon Blanc,California,Sevtap
65,France,86,24.0,Chardonnay,Burgundy,Simonnet-Febvre
66,France,86,15.0,Chardonnay,Burgundy,Vignerons des Terres Secrètes
67,US,86,46.0,Bordeaux-style Red Blend,Washington,Basel Cellars
68,US,86,12.0,Red Blend,California,Cocobon
70,US,86,12.0,Chardonnay,Washington,Drumheller
71,US,86,40.0,Cabernet Sauvignon,California,Eco Terreno
73,US,86,75.0,Cabernet Sauvignon,California,Hindsight
75,US,86,75.0,Bordeaux-style Red Blend,California,Mulvane Wine Co.
76,Germany,86,9.0,Riesling,Rheinhessen,Schmitt Söhne
77,Australia,86,18.0,Chardonnay,South Australia,Yalumba
78,US,86,25.0,Pinot Noir,Oregon,Z'IVO
83,Australia,86,20.0,Rosé,South Australia,Mitolo
85,Germany,86,10.0,Riesling,Rheinhessen,P.J. Valckenberg
87,US,86,55.0,Merlot,California,Passaggio
90,US,88,23.0,Red Blend,California,Ferrari-Carano
97,US,88,20.0,Riesling,New York,Heron Hill
99,US,88,75.0,Bordeaux-style Red Blend,California,Soquel Vineyards
101,US,87,20.0,Riesling,New York,Lamoreaux Landing
102,US,87,20.0,Riesling,New York,Lamoreaux Landing
103,Chile,87,18.0,Chardonnay,Leyda Valley,Leyda
104,Italy,87,16.0,Red Blend,Tuscany,Madonna Alta
106,Italy,87,30.0,Red Blend,Tuscany,Marchesi de' Frescobaldi
109,Italy,87,30.0,Red Blend,Tuscany,Ornellaia
111,US,87,85.0,Cabernet Sauvignon,California,Piña
112,Italy,87,15.0,Red Blend,Tuscany,Podere Ciona
114,US,87,18.0,Bordeaux-style Red Blend,California,Pull
115,US,87,18.0,Chardonnay,California,Pull
117,US,87,44.0,Syrah,California,Rideau
118,Italy,87,80.0,Red Blend,Tuscany,Tenuta Forconi
119,France,92,80.0,Riesling,Alsace,Dopff & Irion
121,US,92,36.0,Chardonnay,California,Matrix
124,US,92,45.0,Cabernet Sauvignon,California,Silverado
134,US,91,78.0,Cabernet Sauvignon,California,Clark-Clauden
136,France,91,50.0,Bordeaux-style Red Blend,Bordeaux,Lassègue
142,US,90,17.0,Riesling,California,Banyan
144,US,91,85.0,Cabernet Sauvignon,California,Terra Valentine
145,US,91,64.0,Pinot Noir,California,Testarossa
146,US,91,68.0,Cabernet Sauvignon,California,Vincent Vineyards
147,US,91,68.0,Cabernet Sauvignon,California,Vincent Vineyards
148,Germany,91,16.0,Riesling,Rheinhessen,Weingut Liebfrauenstift
150,US,91,25.0,Cabernet Sauvignon,California,Yardstick
152,US,91,55.0,Pinot Noir,California,Albatross Ridge
153,US,91,46.0,Syrah,California,Alta Colina
155,US,91,36.0,Syrah,California,Big Basin
156,Germany,91,14.0,Riesling,Mosel,Carl Graff
161,US,91,35.0,Red Blend,California,Chronic Cellars
162,US,91,28.0,Riesling,California,Claiborne & Churchill
164,Chile,91,29.0,Red Blend,Aconcagua Valley,Conde de Velázquez
165,Chile,91,32.0,Cabernet Sauvignon,Maipo Valley,Cono Sur
168,US,91,95.0,Merlot,California,Duckhorn
169,US,91,44.0,Pinot Noir,California,Dutton-Goldfield
170,Germany,91,30.0,Riesling,Mosel,Fritz Haag
171,Germany,91,22.0,Riesling,Mosel,Fritz Haag
172,Chile,91,20.0,Cabernet Sauvignon,Loncomilla Valley,G7
173,US,91,38.0,Pinot Noir,Oregon,Le Cadeau
176,Chile,88,50.0,Red Blend,Maipo Valley,TerraMater
178,US,88,25.0,Syrah,California,Kenwood
179,France,88,27.0,Chardonnay,Burgundy,La Chablisienne
180,US,88,23.0,Chardonnay,California,Manzoni
181,US,88,36.0,Pinot Noir,California,McIntyre Vineyards
184,US,88,35.0,Chardonnay,California,Anaba
186,US,88,40.0,Pinot Noir,California,Harrington
